Date,Time,Temperature (C),Dew Point (C),Humidity (%),Wind Speed (km/h),Wind Gust (km/h),Pressure (hPa),Precip Rate (mm),Precip Accum (mm),Wind Direction,Solar Radiation (w/m2),UV
26/10/2025,21:49:17,18.4,16.6,89.0,0.0,0.0,1012.53,0.0,0.0,170,0.0,0.0
26/10/2025,21:54:05,18.3,16.5,89.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,21:58:53,18.2,16.4,89.4,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:04:53,18.1,16.4,90.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:09:53,18.0,16.3,90.0,0.0,0.0,1012.53,0.0,0.0,170,0.0,0.0
26/10/2025,22:14:53,18.0,16.3,90.0,0.0,0.0,1012.53,0.0,0.0,170,0.0,0.0
26/10/2025,22:19:47,17.9,16.4,90.9,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:24:53,17.8,16.3,91.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:29:53,17.6,16.3,91.7,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:34:53,17.6,16.3,92.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:39:53,17.6,16.3,92.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:44:53,17.6,16.3,91.8,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:49:53,17.6,16.3,91.8,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:54:53,17.4,16.1,92.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,22:59:53,17.4,15.9,91.0,0.0,0.0,1011.85,0.0,0.0,170,0.0,0.0
26/10/2025,23:04:53,17.5,15.9,90.0,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:09:53,17.6,15.9,89.8,0.0,0.0,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:14:53,17.7,16.0,90.0,0.0,0.0,1011.85,0.0,0.0,170,0.0,0.0
26/10/2025,23:19:53,17.7,15.9,89.5,0.0,0.0,1011.85,0.0,0.0,170,0.0,0.0
26/10/2025,23:24:53,17.6,15.9,89.0,0.7,3.2,1011.85,0.0,0.0,170,0.0,0.0
26/10/2025,23:29:53,17.6,15.8,89.0,2.5,3.2,1011.85,0.0,0.0,170,0.0,0.0
26/10/2025,23:34:53,17.7,15.9,89.0,0.6,2.7,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:39:53,17.7,15.8,88.5,0.6,2.4,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:44:53,17.7,15.7,88.0,1.9,3.2,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:49:53,17.8,15.8,88.0,3.2,3.5,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:54:53,17.8,15.7,87.6,2.6,3.2,1012.19,0.0,0.0,170,0.0,0.0
26/10/2025,23:59:53,17.7,15.5,87.0,3.0,3.5,1012.19,0.0,0.0,170,0.0,0.0
28/10/2025,00:04:52,16.7,15.0,90.2,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:09:52,16.9,15.3,90.6,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:14:52,16.8,15.2,90.6,0.6,3.5,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:19:52,17.0,15.1,88.2,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:24:52,17.4,15.4,87.5,1.0,3.2,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:29:52,17.5,15.5,87.9,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:34:52,17.4,15.4,88.2,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:39:52,17.5,15.5,88.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:44:52,17.5,15.5,88.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:49:52,17.3,15.5,89.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:54:52,17.3,15.5,89.1,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,00:59:52,17.2,15.3,88.6,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:04:52,17.3,15.3,87.8,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:09:52,17.4,15.4,88.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:14:52,17.4,15.4,88.2,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:19:52,17.4,15.3,87.3,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:24:52,17.5,15.4,87.3,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:29:52,17.6,15.1,85.5,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:34:52,17.9,15.5,85.8,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:39:52,17.8,15.5,86.7,0.1,2.4,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:44:52,17.5,15.3,86.8,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:49:52,17.3,15.1,87.3,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:54:52,17.1,15.1,88.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,01:59:52,17.0,15.0,88.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:04:47,17.0,15.0,88.2,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:09:52,16.9,15.0,89.0,0.0,0.0,1011.51,0.0,0.0,72,0.0,0.0
28/10/2025,02:14:52,16.7,14.9,89.0,0.0,0.0,1011.51,0.0,0.0,72,0.0,0.0
28/10/2025,02:19:40,16.7,14.8,88.7,0.1,2.4,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:24:59,16.8,14.5,86.5,1.5,3.2,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:29:52,17.0,14.8,87.1,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:34:52,17.0,14.7,86.8,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:39:52,16.9,14.7,86.9,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:44:52,16.9,14.7,87.0,0.0,0.0,1011.18,0.0,0.0,72,0.0,0.0
28/10/2025,02:49:52,17.0,14.6,86.2,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,02:54:52,16.7,14.6,87.6,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,02:59:52,16.7,14.6,87.6,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:04:52,16.5,14.6,88.5,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,03:09:52,16.4,14.4,88.2,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,03:14:52,16.6,14.2,85.8,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,03:19:52,17.0,14.4,84.8,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,03:24:52,17.1,14.6,85.0,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,03:29:52,16.9,14.5,86.0,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:34:59,16.6,14.2,86.0,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:39:52,16.8,14.3,85.0,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:44:52,17.0,14.5,85.3,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:49:52,17.0,14.5,84.8,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:54:52,17.2,14.4,84.2,0.4,2.7,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,03:59:52,17.3,14.3,82.4,0.5,2.4,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,04:04:40,17.6,14.0,79.4,1.1,2.7,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,04:09:52,17.8,14.2,79.9,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,04:14:52,17.8,14.1,79.7,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,04:19:40,17.6,14.1,80.5,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,04:24:52,17.4,14.1,81.4,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,04:29:52,17.0,14.0,82.6,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,04:34:52,17.0,14.1,83.1,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,04:39:52,17.1,14.2,82.9,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,04:44:59,17.1,14.3,83.1,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,04:49:52,17.0,14.2,83.8,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,04:54:40,16.8,14.3,84.8,0.0,0.0,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,04:59:59,16.8,14.3,84.9,0.2,2.4,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,05:04:52,16.8,14.3,84.9,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,05:09:52,16.6,14.2,85.3,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,05:14:52,16.4,14.1,86.4,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,05:19:52,16.4,14.1,86.3,0.1,2.4,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,05:24:52,16.5,14.1,85.3,1.3,3.2,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,05:29:52,16.9,14.0,83.8,1.3,3.2,1010.5,0.0,0.0,72,0.0,0.0
28/10/2025,05:34:52,17.2,14.3,83.1,1.2,3.2,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,05:39:52,17.3,14.5,84.0,0.0,0.0,1010.84,0.0,0.0,72,0.0,0.0
28/10/2025,05:44:52,16.9,14.4,85.0,0.0,0.0,1010.84,0.0,0.0,72,1.3,0.0
28/10/2025,05:49:52,16.9,14.2,84.5,0.0,0.0,1010.84,0.0,0.0,72,2.6,0.0
28/10/2025,05:54:52,17.0,14.2,84.0,1.9,3.5,1010.84,0.0,0.0,72,4.7,0.0
28/10/2025,05:59:52,17.1,14.2,83.0,3.3,4.2,1010.84,0.0,0.0,72,7.6,0.0
28/10/2025,06:04:52,17.2,14.3,82.8,1.4,3.2,1010.84,0.0,0.0,72,10.3,0.0
28/10/2025,06:09:52,17.3,14.0,81.6,2.5,3.9,1010.84,0.0,0.0,72,14.5,0.0
28/10/2025,06:14:52,17.4,13.9,80.3,1.3,3.2,1010.84,0.0,0.0,72,19.0,0.0
28/10/2025,06:19:52,17.7,13.7,77.6,2.1,3.5,1010.84,0.0,0.0,72,23.8,0.0
28/10/2025,06:24:52,18.1,13.7,75.5,0.7,2.7,1010.84,0.0,0.0,72,28.1,0.0
28/10/2025,06:29:52,18.6,13.8,74.1,1.8,3.5,1010.84,0.0,0.0,72,32.1,0.0
28/10/2025,06:34:52,18.9,14.1,74.0,0.0,0.0,1011.18,0.0,0.0,72,36.6,0.0
28/10/2025,06:39:52,18.9,14.3,74.8,1.5,3.2,1011.18,0.0,0.0,72,41.2,0.0
28/10/2025,06:44:52,19.1,14.1,73.0,0.1,2.4,1011.18,0.0,0.0,72,46.0,0.0
28/10/2025,06:49:52,19.7,14.3,71.3,1.4,3.2,1011.18,0.0,0.0,72,51.3,0.0
28/10/2025,06:54:52,20.0,14.6,71.1,1.5,3.5,1011.18,0.0,0.0,72,55.8,0.0
28/10/2025,06:59:52,20.2,14.5,70.0,1.3,3.2,1011.18,0.0,0.0,72,62.4,0.0
28/10/2025,07:04:52,20.7,14.9,69.3,0.7,2.7,1011.18,0.0,0.0,72,70.5,0.8
28/10/2025,07:09:52,21.1,15.2,69.4,0.1,2.4,1011.18,0.0,0.0,72,81.8,1.0
28/10/2025,07:14:52,21.5,15.2,67.4,0.6,3.2,1011.18,0.0,0.0,72,93.8,0.9
